1,3
2,4
3,1
4,1
5,2
6,5
7,3
8,2
9,4
10,3
11,2
12,2
13,1
14,4
15,3
16,2
17,1
18,4
19,5
20,6
21,4
22,3
23,1
24,2
25,2
26,2
27,2
28,4
29,1
30,2
31,3
32,3
33,2
34,2
35,1
36,2
37,2
38,3
39,3
40,2
41,1
42,4
43,1
44,6
45,2
46,3
47,2
48,1
49,2
50,3
51,1
52,2
53,1
54,1
55,1
56,2
57,3
58,2
59,2
60,2
61,1
62,1
63,2
64,1
65,2
66,3
67,3
68,3
69,2
70,1
71,4
72,2
73,1
74,2
75,5
76,2
77,4
78,2
79,3
80,1
81,2
82,1
83,1
84,1
85,2
86,3
87,2
88,2
89,2
90,1
91,2
92,2
93,1
94,4
95,3
96,2
97,1
98,4
99,5
100,6
101,4
102,3
103,1
104,2
105,2
106,2
107,1
108,1
109,1
110,1
111,2
112,1
113,2
114,1
115,2
116,3
117,1
118,2
119,1
